"Author_Abbrev","Title_Abbrev","Authors","Latin_Title","Modern_Title"
"Cic.","Leg. Man.","Cicero (Marcus Tullius)","Pro lege Manilia or De imperio Cn. Pompeii"
"Cic.","Lig.","Cicero (Marcus Tullius)","Pro Ligario"
"Cic.","Luc.","Cicero (Marcus Tullius)","Lucullus or Academica posteriora"
"Cic.","Marcell.","Cicero (Marcus Tullius)","Pro Marcello"
"Cic.","Mil.","Cicero (Marcus Tullius)","Pro Milone"
"Cic.","Mur.","Cicero (Marcus Tullius)","Pro Murena"
"Cic.","Nat. D.","Cicero (Marcus Tullius)","De natura deorum"
"Cic.","Off.","Cicero (Marcus Tullius)","De officiis"
"Cic.","Orat.","Cicero (Marcus Tullius)","Orator ad M. Brutum"
"Cic.","Part. or.","Cicero (Marcus Tullius)","Partitiones oratoriae"
"Cic.","Phil.","Cicero (Marcus Tullius)","Orationes Philippicae"
"Cic.","Pis.","Cicero (Marcus Tullius)","In Pisonem"
"Cic.","Planc.","Cicero (Marcus Tullius)","Pro Plancio"
"Cic.","Prov. cons.","Cicero (Marcus Tullius)","De provinciis consularibus"
"Cic.","Q Fr.","Cicero (Marcus Tullius)","Epistule ad Quintum fratrem"
"Cic.","Q Rosc.","Cicero (Marcus Tullius)","Pro Roscio Postumo"
"Cic.","Quinct.","Cicero (Marcus Tullius)","Pro Quinctio"
"Cic.","Rab. Post.","Cicero (Marcus Tullius)","Pro Rabirio Postumo"
"Cic.","Red. pop.","Cicero (Marcus Tullius)","Post reditum ad populum"
"Cic.","Red. sen.","Cicero (Marcus Tullius)","Post reditum in senatu"
"Cic.","Rep.","Cicero (Marcus Tullius)","De republica"
"Cic.","Rosc. Am.","Cicero (Marcus Tullius)","Pro Sexto Roscio Amerino"
"Cic.","Scaur.","Cicero (Marcus Tullius)","Pro Scauro"
"Cic.","Sen.","Cicero (Marcus Tullius)","De senectute"
"Cic.","Sest.","Cicero (Marcus Tullius)","Pro Sestio"
"Cic.","Somn.","Cicero (Marcus Tullius)","Somnium Scriponis"
"Cic.","Sull.","Cicero (Marcus Tullius)","Pro Sulla"
"Cic.","Tog. cand.","Cicero (Marcus Tullius)","Oratio in senatu in toga candida"
"Cic.","Top.","Cicero (Marcus Tullius)","Topica"
"Cic.","Tusc.","Cicero (Marcus Tullius)","Tusculanae disputationes"
"Cic.","Verr.","Cicero (Marcus Tullius)","In Verrem"
"Cicero","Comment. pet.","Cicero (Quintus","Commentariolum petitionis"
"CIL","Epon.","CIL","Corpus Inscriptionum Latinum"
"Claud.","Cons.Hon.Cons.Stil.","Claudianus","De consulatu Honorii De consulatu Stilichonis"
"Clem. Al.","Protr.","Clemens Alexandrinus","Protrepticus"
"Clem. Al.","Strom.","Clemens Alexandrinus","Stromateis"
"Columella","Rust.","Columella","De re rustica"
"Conon","Narr.","Conon Mythographus","Greek"
"Cornutus","Theol. Graec.","Cornutus (L. Annaeus)","Greek"
"Curt.","Epon.","Q. Curtius Rufus","Eponymous"
"Cyril.","Adv. Iul.","Cyrillus","Adversus Iulianum"
"Dam.","Isid.","Damascius","Vita Isidori"
"Dem.","De cor.","Demosthenes","De corona","On the Crown"
"Dem.","Epit.","Demosthenes","Epitaphius","Funeral Oration"
"Dem.","Lept.","Demosthenes","Against Leptines"
