iam_work_id,author_abbrev,title_abbrev,author_name,iam_author_id,latin_title,modern_title
iamwork260,Cic.,Amic.,Cicero (Marcus Tullius),cicero-marcus-tullius,De amicitia,
iamwork261,Cic.,Arch.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Archia,
iamwork262,Cic.,Att.,Cicero (Marcus Tullius),cicero-marcus-tullius,Epistule ad Atticum,
iamwork263,Cic.,Balb.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Balbo,
iamwork264,Cic.,Caecin.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Caecina,
iamwork265,Cic.,Cael.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Caelio,
iamwork266,Cic.,Cat.,Cicero (Marcus Tullius),cicero-marcus-tullius,In Catilinam,
iamwork267,Cic.,Clu.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Cluentio,
iamwork268,Cic.,Corn.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Cornelio de maiestate,
iamwork269,Cic.,De or.,Cicero (Marcus Tullius),cicero-marcus-tullius,De oratore,
iamwork270,Cic.,Deiot.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro rege Deiotaro,
iamwork271,Cic.,Div.,Cicero (Marcus Tullius),cicero-marcus-tullius,De divinatione,
iamwork272,Cic.,Div. Caec.,Cicero (Marcus Tullius),cicero-marcus-tullius,Divinatio in Caecilium,
iamwork273,Cic.,Dom.,Cicero (Marcus Tullius),cicero-marcus-tullius,De domo sua,
iamwork274,Cic.,Fam.,Cicero (Marcus Tullius),cicero-marcus-tullius,Epistulae ad familiares,
iamwork275,Cic.,Fat.,Cicero (Marcus Tullius),cicero-marcus-tullius,De fato,
iamwork276,Cic.,Fin.,Cicero (Marcus Tullius),cicero-marcus-tullius,De finibus,
iamwork277,Cic.,Flac.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Flacco,
iamwork278,Cic.,Font.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Fonteio,
iamwork279,Cic.,Har. resp.,Cicero (Marcus Tullius),cicero-marcus-tullius,De haruspicum responso,
iamwork280,Cic.,Inv. rhet.,Cicero (Marcus Tullius),cicero-marcus-tullius,De inventione rhetorica,
iamwork281,Cic.,Leg.,Cicero (Marcus Tullius),cicero-marcus-tullius,De legibus,
iamwork282,Cic.,Leg. agr.,Cicero (Marcus Tullius),cicero-marcus-tullius,De lege agraria,
iamwork283,Cic.,Leg. Man.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro lege Manilia or De imperio Cn. Pompeii,
iamwork284,Cic.,Lig.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Ligario,
iamwork285,Cic.,Luc.,Cicero (Marcus Tullius),cicero-marcus-tullius,Lucullus or Academica posteriora,
iamwork286,Cic.,Marcell.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Marcello,
iamwork287,Cic.,Mil.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Milone,
iamwork288,Cic.,Mur.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Murena,
iamwork289,Cic.,Nat. D.,Cicero (Marcus Tullius),cicero-marcus-tullius,De natura deorum,
iamwork290,Cic.,Off.,Cicero (Marcus Tullius),cicero-marcus-tullius,De officiis,
iamwork291,Cic.,Orat.,Cicero (Marcus Tullius),cicero-marcus-tullius,Orator ad M. Brutum,
iamwork292,Cic.,Part. or.,Cicero (Marcus Tullius),cicero-marcus-tullius,Partitiones oratoriae,
iamwork293,Cic.,Phil.,Cicero (Marcus Tullius),cicero-marcus-tullius,Orationes Philippicae,
iamwork294,Cic.,Pis.,Cicero (Marcus Tullius),cicero-marcus-tullius,In Pisonem,
iamwork295,Cic.,Planc.,Cicero (Marcus Tullius),cicero-marcus-tullius,Pro Plancio,
