"stoa_work_id","latin_title","stoa_group_id","group_name"
"latinLit:stoa0267/latinLit:stoa001","Achilleis","latinLit:stoa0267","Statius, Papinius"
"latinLit:stoa0267/latinLit:stoa002","Silvae","latinLit:stoa0267","Statius, Papinius"
"latinLit:stoa0267/latinLit:stoa003","Thebais","latinLit:stoa0267","Statius, Papinius"
"latinLit:stoa0268/latinLit:stoa001","De grammaticis","latinLit:stoa0268","Suetonius"
"latinLit:stoa0268/latinLit:stoa002","De historicis","latinLit:stoa0268","Suetonius"
"latinLit:stoa0268/latinLit:stoa003","De oratoribus","latinLit:stoa0268","Suetonius"
"latinLit:stoa0268/latinLit:stoa004","De poetis","latinLit:stoa0268","Suetonius"
"latinLit:stoa0268/latinLit:stoa005","De rhetoribus","latinLit:stoa0268","Suetonius"
"latinLit:stoa0268/latinLit:stoa006","De vita Caesarum","latinLit:stoa0268","Suetonius"
"latinLit:stoa0269/latinLit:stoa001","Epistulae","latinLit:stoa0269","Sulpicia"
"latinLit:stoa0270/latinLit:stoa001","Chronica","latinLit:stoa0270","Sulpicius Severus"
"latinLit:stoa0270/latinLit:stoa002","Vita Sancti Martini","latinLit:stoa0270","Sulpicius Severus"
"latinLit:stoa0271/latinLit:stoa001","Relationes","latinLit:stoa0271","Symmachus"
"latinLit:stoa0272/latinLit:stoa001","Mimorum fragmenta","latinLit:stoa0272","Syrus, Publilius"
"latinLit:stoa0272/latinLit:stoa002","Sententiae","latinLit:stoa0272","Syrus, Publilius"
"latinLit:stoa0273/latinLit:stoa001","Agricola","latinLit:stoa0273","Tacitus"
"latinLit:stoa0273/latinLit:stoa002","Annales","latinLit:stoa0273","Tacitus"
"latinLit:stoa0273/latinLit:stoa003","Dialogus de oratoribus","latinLit:stoa0273","Tacitus"
"latinLit:stoa0273/latinLit:stoa004","Germania","latinLit:stoa0273","Tacitus"
"latinLit:stoa0273/latinLit:stoa005","Historiae","latinLit:stoa0273","Tacitus"
"latinLit:stoa0274/latinLit:stoa001","Adelphi","latinLit:stoa0274","Terence"
"latinLit:stoa0274/latinLit:stoa002","Andria","latinLit:stoa0274","Terence"
"latinLit:stoa0274/latinLit:stoa003","Eunuchus","latinLit:stoa0274","Terence"
"latinLit:stoa0274/latinLit:stoa004","Heauton Timorumenos","latinLit:stoa0274","Terence"
"latinLit:stoa0274/latinLit:stoa005","Hecyra","latinLit:stoa0274","Terence"
"latinLit:stoa0274/latinLit:stoa006","Phormio","latinLit:stoa0274","Terence"
"latinLit:stoa0275/latinLit:stoa001","Ad martyras","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa002","Ad nationes","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa003","Ad Scapulam","latinLit:stoa0275","Tertullian"
"latinLit:stoa0275/latinLit:stoa004","Adversus Hermogenem","latinLit:stoa0275","Tertullian"
